title	abstract	authors	source	publication_year	publication_month	publication_day
Impacts of multidecadal climate oscillations on marine ecosystems and fish stocks		Svein Sundby	IOP Conference Series: Earth and Environmental Science	2009	1	1
Maxwells fish-eye lens and the mirage of perfect imaging	Recent claims that Maxwells fish-eye is a perfect lens, capable of providing images withdeep subwavelength resolution, are examined. We show that the imaging properties of adispersionless fish-eye are very similar to those of an ideal spherical cavity. Using thiscorrespondence, we prove that the correct solution to Maxwell equations in the fish-eyegives image sizes that are consistent with the standard diffraction limit. Perfect focusing isan optical illusion that results from placing a time-reversed source at the position of thegeometrical image which, when combined with the field due to the primary (object) source,mimics the behavior of a perfect drain. Issues of causality are briefly discussed. We alsodemonstrate that passive outlets are not a good alternative to time-reversed sourcesfor broadband drain-like behavior and that, even if they were, they could notdo a better job than conventional optical systems at providing high resolution.	R Merlin	Journal of Optics	2011	1	1
Underwater thrust and power generation using flexible piezoelectric composites: anexperimental investigation toward self-powered swimmer-sensor platforms	Fiber-based flexible piezoelectric composites offer several advantages to use in energyharvesting and biomimetic locomotion. These advantages include ease of application,high power density, effective bending actuation, silent operation over a rangeof frequencies, and light weight. Piezoelectric materials exhibit the well-knowndirect and converse piezoelectric effects. The direct piezoelectric effect has receivedgrowing attention for low-power generation to use in wireless electronic applicationswhile the converse piezoelectric effect constitutes an alternative to replace theconventional actuators used in biomimetic locomotion. In this paper, underwaterthrust and electricity generation are investigated experimentally by focusing onbiomimetic structures with macro-fiber composite piezoelectrics. Fish-like bimorphconfigurations with and without a passive caudal fin (tail) are fabricated andcompared. The favorable effect of having a passive caudal fin on the frequencybandwidth is reported. The presence of a passive caudal fin is observed to bringthe second bending mode close to the first one, yielding a wideband behavior inthrust generation. The same smart fish configuration is tested for underwaterpiezoelectric power generation in response to harmonic excitation from its head.Resonant piezohydroelastic actuation is reported to generate milli-newton levelhydrodynamic thrust using milli-watt level actuation power input. The average actuationpower requirement for generating a mean thrust of 19mN at 6Hz using a 10gpiezoelastic fish with a caudal fin is measured as 120mW. This work also discussesthe feasibility of thrust generation using the harvested energy toward enablingself-powered swimmer-sensor platforms with comparisons based on the capacity levels ofstructural thin-film battery layers as well as harvested solar and vibrational energy.	Alper Erturk, Ghislain Delporte	Smart Materials and Structures	2011	1	1
Stable chromosome aberration frequencies in men occupationally exposed toradiation*		E Janet Tawn, Caroline A Whitehouse	Journal of Radiological Protection	2003	1	1
Salmon jumping: behavior, kinematics and optimal conditions, with possible implications for fish passageway design	Behavioral and kinematic properties and capacities of wild migratory salmonid fishes swimming upstream and jumping up waterfalls generally have played only minor roles in the design and construction of passageways intended to help these fishes get past dams and other human-made obstacles blocking their movements. This paper reports the results of an experimental study of relevant behavioral and kinematic properties of adult kokanee salmon (Oncorhynchus nerka) jumping up waterfalls as they migrate upstream. We used a portable, adjustable apparatus to study in the field fish responding to artificial waterfalls under a range of flow conditions. We observed fish under conditions of varying water flow rates, pool depths, fall heights and fall angles. We analyzed digital video recordings of their behaviors. Kokanee salmon spontaneously jump up waterfalls within a relatively narrow range of conditions, including low flow speeds, near vertical angles and pool depth to fall height ratios near 1.0. Preferred values for each parameter are, to some extent, dependent on other parameters. In contrast to previous misconceptions, jumping behavior is initiated by running S-start accelerations from beneath the boils formed in the plunge pools below waterfalls, as opposed to C-start standing jumps from the surface. S-starts are immediately followed by burst swimming to the point of takeoff at the surface. These results can contribute to an improved basis for developing designs of fish passageways that may ultimately make them more effective and efficient.	D V Lauritzen, F S Hertel, L K Jordan, M S Gordon	Bioinspiration & Biomimetics	2010	1	1
Physics in contexta means to encourage student interest in physics	Physics instruction that is student oriented will generate a long-term individual interestand therefore a lifelong openness to science. Phenomena of nature are part ofthe fields of interest which provide context leading to greater student interest.In this paper we present the locomotion of fish and sperm in a way which can be used toteach in physics classes. For the development of the topic, a free computer simulation canbe downloaded, which illustrates the different kinds of movement pertaining to fish:paddling, oscillation and undulation. The physics of the three different kinds of movementis explained in the simulation by demonstrating the force vectors that are relevant.	Christine Waltner, Hartmut Wiesner, Alexander Rachel	Physics Education	2007	1	1
Locomotion with flexible propulsors: II. Computational modeling of pectoral fin swimming in sunfish	This paper describes a computational fluid dynamics (CFD) based investigation of the pectoral fin hydrodynamics of a bluegill sunfish. The pectoral fin of this fish undergoes significant shape-change during its abductionadduction cycle and the effect of this deformation on the thrust performance remains far from understood. The current study is part of a combined experimentalnumerical approach wherein the numerical simulations are being used to examine features and issues that are not easily amenable to the experiments. These numerical simulations are highly challenging and we briefly describe the computational methodology that has been developed to handle such flows. Finally, we describe some of the key computational results including wake vortex topologies and hydrodynamics forces.	Rajat Mittal, Haibo Dong, Meliha Bozkurttas, GeorgeV Lauder, Peter Madden	Bioinspiration & Biomimetics	2006	1	1
A discourse of fish and fish-ponds. Done by a person of honour.		Roger North 1653-1734	A discourse of fish and fish-ponds. Done by a person of honour.	1714	1	1
The acoustic back-scattering cross sections of short cylinders		R W G Haslett	British Journal of Applied Physics	1964	1	1
Nemo explains Newton's laws		David Featonby, Siri Krogh	Physics Education	2012	1	1
Comment on Perfect imaging without negative refraction	The prediction of perfect imaging without negative refraction for Maxwell's fish-eye lens (Leonhardt U 2009 New J. Phys.11 093040) is a consequence of imposing an active localized drain at the image point rather than being a general property of the lens. This work then becomes analogous to other work using time-reversal symmetry and/or structured antennae to achieve super-resolution, which can be applied to many types of imaging system beyond the fish-eye lens.	R J Blaikie	New Journal of Physics	2010	1	1
The Property and Application of Arachidonic Acid		Wang Xiang-qin, Yao Jian-ming, Yuan Cheng-ling, Wang Ji, Yu Zeng-liang	Plasma Science and Technology	2002	1	1
Schwarzschild interior solution and the truncated Maxwell fish-eye		H A Buchdahl	Journal of Physics A: Mathematical and General	1983	1	1
Frequency spectra of absolute optical instruments	We analyse frequency spectra of absolute optical instruments and show that they have very specific properties: the eigenfrequencies form tight groups that are almost equidistantly spaced. We prove this by theoretical analysis and demonstrate by numerically calculated spectra of various examples of absolute instruments. We also show that in rotationally and spherically symmetric absolute instruments a source, its image and the centre of the device must lie on a straight line.	Tom Tyc, Aaron Danner	New Journal of Physics	2012	1	1
Bioluminescent signals and the role ofreflectors		Peter J Herring	Journal of Optics A: Pure and Applied Optics	2000	1	1
